environment,condition,seed,round,agent_A_action,agent_B_action,agent_C_action,report,notes
turn_taking_two_stage,NOISY_ENFORCEMENT,5,2,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,5,3,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,5,4,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,5,5,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,6,1,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,6,2,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,6,3,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,6,4,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,6,5,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,7,1,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,7,2,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,7,3,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,7,4,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,7,5,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,8,1,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,8,2,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,8,3,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,8,4,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,8,5,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,9,1,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,9,2,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,9,3,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,9,4,,,,,
turn_taking_two_stage,NOISY_ENFORCEMENT,9,5,,,,,
